movie,director,relation
触不可及 Intouchables,奥利维埃·纳卡什,DirectBy
触不可及 Intouchables,埃里克·托莱达诺,DirectBy
忠犬八公物语 ハチ公物語,神山征二郎,DirectBy
解救吾先生,丁晟,DirectBy
真爱至上 Love Actually,理查德·柯蒂斯,DirectBy
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺兰,DirectBy
悲伤逆流成河,落落,DirectBy
湮灭 Annihilation,亚历克斯·嘉兰,DirectBy
萤火之森 蛍火の杜へ,大森贵弘,DirectBy
奇迹男孩 Wonder,斯蒂芬·卓博斯基,DirectBy
情书 Love Letter,岩井俊二,DirectBy
神奇动物在哪里 Fantastic Beasts and Where to Find Them,大卫·叶茨,DirectBy
惊天魔盗团 Now You See Me,路易斯·莱特里尔,DirectBy
神秘巨星 Secret Superstar,阿德瓦·香登,DirectBy
天下无贼,冯小刚,DirectBy
宝贝计划 寶貝計劃,陈木胜,DirectBy
烈日灼心,曹保平,DirectBy
养家之人 The Breadwinner,诺拉·托梅,DirectBy
记忆大师,陈正道,DirectBy
鬼子来了,姜文,DirectBy
国王的演讲 The King's Speech,汤姆·霍珀,DirectBy
指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,DirectBy
叶问外传：张天志 葉問外傳：張天志,袁和平,DirectBy
拯救大兵瑞恩 Saving Private Ryan,史蒂文·斯皮尔伯格,DirectBy
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,DirectBy
纵横四海 緃横四海,吴宇森,DirectBy
恐怖游轮 Triangle,克里斯托弗·史密斯,DirectBy
失恋33天,滕华涛,DirectBy
低俗小说 Pulp Fiction,昆汀·塔伦蒂诺,DirectBy
催眠大师,陈正道,DirectBy
暮光之城 Twilight,凯瑟琳·哈德威克,DirectBy
七宗罪 Se7en,大卫·芬奇,DirectBy
绣春刀II：修罗战场,路阳,DirectBy
黑天鹅 Black Swan,达伦·阿伦诺夫斯基,DirectBy
惊天魔盗团2 Now You See Me 2,朱浩伟,DirectBy
致命魔术 The Prestige,克里斯托弗·诺兰,DirectBy
我的野蛮女友 엽기적인 그녀,郭在容,DirectBy
傲慢与偏见 Pride & Prejudice,乔·赖特,DirectBy
金陵十三钗,张艺谋,DirectBy
廉政风云 廉政風雲 煙幕,麦兆辉,DirectBy
搏击俱乐部 Fight Club,大卫·芬奇,DirectBy
